Question	Answer1	Answer2	SU Type	SU Sub Type	Question Type
what does tito sell that betrays bardo ?	his library .	the late farmers stock	Concept	Common Noun Phrases	Nested Relation
who can hear the goblins on the second day in the story ?	only lizzie	lizzie	Concept	Entity	Event Argument - Concept
where does angelica elope to ?	cathay ?	cathay	Concept	Entity	Event Argument - Concept
what is the current population of anthea ?	less than 300	less than 300	Attribute	Numerics	Attribute of Concept
who kidnaps diana in the desert ?	ahmed ben hassan	the sheik	Concept	Entity	Event Argument - Concept
why was it banned in the soviet union ?	occultism .	because of its perceived occultism .	Concept	Common Noun Phrases	Causal Relation
who turns down monty s proposal ?	drew	barbara drew	Concept	Entity	Event Argument - Concept
what does conan do to the pictish village ?	he sets it on fire .	he sets it on fire .	Event	Event Expression	Event Trigger
who plays matchmaker for theordora ?	mrs. mcbride	mrs. mcbride .	Concept	Entity	Event Argument - Concept
how many pictish heads does conan vow to take for slasher ?	seven .	seven .	Attribute	Numerics	Nested Relation
what nationality was ahmed s mother ?	spanish	his mother was spanish .	Attribute	States	Attribute of Concept
what bothers miranda about europe ?	their old world treatment of women .	the old world treatment of its women	Event	Event Expression	Event Argument - Concept
how much must monty spend during the first year ?	one million dollars .	$ 1 million	Attribute	Numerics	Event Argument - Attribute
what is the name of the village where mortimer treginnis ' brothers and sister live ?	tredannick wollas .	in the village of cornwall .	Concept	Entity	Attribute of Concept
in what city does this story take place ?	alexandria .	alexandria	Concept	Entity	Book Attribute
who warns settlers of the pictish attacks ?	both balthus and conan warn people .	balthus	Concept	Entity	Event Argument - Concept
what physical disorders does paula and charmian have in common ?	insomnia and the inability to have kids	insomnia and they ca n't have kids .	Concept	Common Noun Phrases	Event Argument - Concept
what word does beerbohm say he was never able to make out ?	labud	labud	Concept	Common Noun Phrases	Nested Relation
why did mrs. almayer run away ?	she ran away with the rajah for protection .	for protection	Event	Event Name	Causal Relation
"where is miranda from , according to the story ?"	"bangor , maine"	bangor maine	Concept	Entity	Relation between Concepts
where is dr. bianchon staying during the story ?	an inn	inn	Concept	Entity	Book Attribute
why does mary have to educate herself ?	she is neglected by her mother	her parents ignore her	Event	Event Name	Causal Relation
who goes to warn the salt gatherers ?	conan .	conan .	Concept	Entity	Event Argument - Concept
what town does jim get banished from ?	eatonville	eatonville	Concept	Entity	Event Argument - Concept
why ca n't the men control the ship ?	the autopilot was triggered	it is under the control of the autopilot	Event	Event Name	Causal Relation
"what does tom learn about his friend , mr. damon ?"	mr. damon is having financial difficulties .	that he s having financial troubles .	Event	Event Expression	Nested Relation
where does orlando kill king agramante ?	the island of lampedusa .	the island of lampedusa	Concept	Entity	Event Argument - Attribute
who kidnapped otto ?	baron henry	baron henry	Concept	Entity	Event Argument - Concept
what does paul believe in by the end of the story ?	hell	in hell	Concept	Common Noun Phrases	Event Argument - Concept
"when romola takes to a boat to die , she ends up at an island that is fighting what disease ?"	plague	plague	Concept	Common Noun Phrases	Temporal Relation
why does barabas and ithamore kill abigail ?	for becoming a christian .	she became a christian	Event	Event Name	Causal Relation
who is scalpled alive ?	hutter	hutter	Concept	Entity	Event Argument - Concept
who is scalpled alive ?	a black cloak	the black cloak	Concept	Entity	Event Argument - Concept
why does n't pozdnyshev run after the violinist ?	because he is wearing socks	he did n't want anyone to make fun of him for chasing after her lover in socks .	Event	Event Name	Causal Relation
who is mr lawrence to mrs helen graham ?	her brother .	her brother	Concept	Entity	Relation between Concepts
who does claude marry ?	christine hallegrain .	christine hallegrain	Concept	Entity	Relation between Concepts
what is the secret weakness of goblins ?	their soft feet .	"they have soft , vulnerable feet ."	Concept	Common Noun Phrases	Attribute of Concept
where is everard when he feels a sword at his throat ?	a dark alley	in a dark gallery .	Concept	Common Noun Phrases	Event Argument - Concept
why does claude become depressed ?	his inability to paint his masterpiece .	he is n't able to paint much .	Event	Event Name	Causal Relation
who is the father of kate s daughter ?	phillip is the father .	philip .	Concept	Entity	Relation between Concepts
when did the soviets ban the collection of stories ?	1929	1929	Attribute	Numerics	Event Argument - Attribute
what happens to laura when she can not get any more goblin fruit ?	she gets sick .	she withers away and begins to die .	Event	Event Name	Temporal Relation
who does vervelle want his daughter to marry ?	grassou	pierre grassou .	Concept	Entity	Event Argument - Concept
how did anthony ( buck rogers ) remain asleep for 492 years ?	he was exposed to radioactive gas .	exposure to radioactive gas .	Event	Event Expression	Nested Relation
who is operating the speeding motorboat that almost runs tom over ?	shallock peters .	mr. peters .	Concept	Entity	Nested Relation
what tribe captured the crew ?	maori tribe	the maori tribe .	Concept	Book-Specific	Event Argument - Concept
whose influence does john girdlestone hope to use some day ?	the collector	a member of parliament .	Concept	Common Noun Phrases	Event Argument - Concept
who does charity marry in the end ?	mr. royall	mr. royall .	Concept	Entity	Event Argument - Concept
what nationality is madame de merret s lover ?	spanish	spanish	Concept	Entity	Attribute of Concept
who is the egyptian monk ?	philammon	philammon .	Concept	Entity	Attribute of Concept
who does troilus curse ?	fortune	fortune	Concept	Entity	Event Argument - Concept
what is the town like area that the germanic tribes inhabit ?	mark	mark .	Concept	Book-Specific	Attribute of Concept
who is shallock peters ?	he is a con-man determined to steal tom s ideas .	con artist	Concept	Entity	Attribute of Concept
who travels with diana into the desert ?	a guide .	her arab guide .	Concept	Entity	Event Argument - Concept
which remarkable habit did enoch soames demonstrate with regard to choice of clothing ?	always wore a grey waterproof cape and a soft black hat	he always wore a gray waterproof cape and a soft black hat .	Event	Event Expression	Nested Relation
who receives contraceptives ?	pozdnyshev s wife	pozdnyshev s wife gets contraceptives to prevent pregnancy .	Concept	Entity	Event Argument - Concept
what is the young man s first name in which emily married the second time ?	alfred .	hercule poirot	Concept	Entity	Attribute of Concept
what accomplishment was mary taught in order to attract suitors ?	dancing	dancing	Concept	Common Noun Phrases	Causal Relation
what is the name of lord glenarvan s yacht ?	the duncan	the duncan	Concept	Book-Specific	Attribute of Concept
what do the other painters think of grassou work ?	they laugh at it .	he feels that they are laughing at him .	Event	Event Expression	Nested Relation
what did ernest lose his faith in after having a conversation with a poor person ?	the integrity of the bible .	in the bible	Concept	Common Noun Phrases	Nested Relation
who died and left the sawyer house and land to rebecca ?	miranda	miranda	Concept	Entity	Event Argument - Concept
why can brewster not tell anyone ?	he is sworn to secrecy	he is sworn to secrecy	Event	Event Name	Causal Relation
who relaunch the ship ?	renfry	renfry	Concept	Entity	Event Argument - Concept
where was the rescue bottle found ?	in the shark s stomach	shark s stomach	Concept	Entity	Event Argument - Concept
lodowick and mathias die in a duel over whom ?	abigail	abigail	Concept	Entity	Event Argument - Concept
where does john girdlestone travel to buy diamonds from the dealers ?	london	south africa .	Concept	Entity	Event Argument - Concept
what is savonarola accused of at the end of the story ?	heresy	heresy	Concept	Entity	Event Argument - Concept
where do theodora and hector go on the day of their romantic encounter ?	versailles	versailles .	Concept	Entity	Event Argument - Concept
how many war dukes were chosen in total ?	two war dukes were chosen in total .	two	Attribute	Numerics	Event Argument - Attribute
who was the captain disguised as ?	a roundhead	a roundhead .	Concept	Book-Specific	Event Argument - Concept
what type of literary passage is this story ?	this story is a literary dialogue .	it is a critique on naming .	Attribute	Book Attributes	Book Attribute
what house are ruggiero and bradamante both ancestors of ?	the house of este	the house of este	Concept	Book-Specific	Relation between Concepts
what did mr. peters try to buy tom out of ?	tom s inventions .	some of his inventions	Concept	Common Noun Phrases	Event Argument - Concept
how did john keep the impending bankruptcy from ezra ?	by showing him a dummy ledger	by having a fake ledger .	Event	Event Expression	Nested Relation
what does mrs. cheveley propose ?	she offers to give sir robert s letter in exchange to marry her old beau	that she ll give lord robert s letter to goring if he marries her	Event	Event Expression	Nested Relation
which philosopher is aaron thought to resemble ?	frank strawn-hamilton	frank strawn-hamilton	Concept	Entity	Event Argument - Concept
what dictionary shows that these stories point out the social injustices of the time ?	the oxford dictionary of national biography	the oxford dictionary of national biography	Concept	Common Noun Phrases	Attribute of Concept
what does the poor businessman dream of ?	finding a gold mine and getting rich	he dream of finding a hidden gold mine	Event	Event Expression	Attribute of Concept
how does christopher feel towards mr. fetcher ?	he hates mr.fletcher .	hatred	Event	Event Expression	Nested Relation
what line does conan use to describe slasher at the end of the story ?	a better warrior than many a men	a better warrior than many a man	Attribute	Descriptions	Event Argument - Attribute
how was maurya s son traveling to his connemarre ?	sailing	sailing	Event	Event Expression	Event Argument - Attribute
where do many of siddhartha s revelations happen ?	many of siddhartha s revelations happen on the banks of the river .	by a river	Concept	Entity	Event Argument - Concept
"harvard medical student grete anderson , now a transplant surgeon in houston was a former what ?"	miss oregon	beauty queen	Concept	Common Noun Phrases	Relation between Concepts
what happened for the first time in 20 years ?	a general election	a general election happened	Event	Event Name	Event Trigger
who spreads rumors about helen ?	eliza .	eliza .	Concept	Entity	Event Argument - Concept
what medical school does laura attend ?	laura attends harvard medical school .	harvard medical school	Concept	Common Noun Phrases	Event Argument - Concept
who does aaron hancock resemble ?	frank strawn- hamilton .	bearded hobo philosopher frank strawn-hamilton	Concept	Entity	Event Argument - Concept
what physical disability does christopher s mother have ?	she is blind .	blindness .	Concept	Common Noun Phrases	Attribute of Concept
what do ernest s parents do when they learn of ernest s arrest ?	they disown him	disown him	Event	Event Name	Temporal Relation
why was laura horrified at the stream ?	she could no longer hear the goblins ' voices .	she can no longer hear the goblins ' voices .	Event	Event Name	Causal Relation
what does conan set off in when going to slay zogar sag ?	canoes	canoes	Event	Event Expression	Temporal Relation
who explained that it would be unjust for socrates to leave his cell ?	the laws of athens said it would be unjust for socrates to leave his cell .	the voice of the laws of athens talked socrates out of leaving his cell .	Concept	Common Noun Phrases	Nested Relation
what medical specialty is laura drawn to ?	laura is drawn to pediatrics .	pediatrics	Concept	Common Noun Phrases	Event Argument - Concept
what is the relationship between honoria and esther ?	honoria is esthers mother .	mother and daughter	Attribute	States	Relation between Concepts
what does maurya predict by nightfall ?	she will have no living sons	her last living son will be dead	Event	Event Name	Event Argument - Concept
what state does this story take place within ?	new york	new york	Attribute	Book Attributes	Book Attribute
what was flying the ship ?	autopilot .	the autopilot	Concept	Common Noun Phrases	Event Argument - Concept
who was everard made prisoner by ?	cormwell	oliver cromwell .	Event	Event Expression	Event Argument - Concept
what is diana s brother s name ?	sir aubrey mayo	aubrey	Concept	Entity	Attribute of Concept
which political party takes power after stories of the newtown scandal are released ?	the republican party	republican party	Concept	Entity	Temporal Relation
